Wavelength (nm),Transmittance ITO (%),Transmittance CdS (%),Transmittance Si (%),Transmittance GaAs (%)
484,71.516,0.096,-0.001,0.17
485,71.553,0.096,0,0.17
486,71.623,0.096,0,0.17
487,71.78,0.097,0,0.17
488,71.981,0.097,0,0.17
489,72.249,0.097,0,0.17
490,72.545,0.097,0,0.171
491,72.897,0.096,0,0.171
492,73.343,0.095,0,0.172
493,73.737,0.095,0,0.172
494,74.236,0.097,0,0.173
495,74.723,0.097,0,0.173
496,75.323,0.098,-0.001,0.172
497,75.977,0.098,-0.001,0.173
498,76.664,0.098,0,0.174
499,77.352,0.097,0,0.175
500,77.98,0.098,0,0.175
501,78.621,0.101,-0.001,0.175
502,79.353,0.11,-0.001,0.175
503,80.118,0.126,-0.001,0.174
504,80.934,0.156,0,0.174
505,81.663,0.209,-0.001,0.174
506,82.448,0.304,-0.001,0.175
507,83.193,0.464,-0.001,0.176
508,83.956,0.722,-0.001,0.177
509,84.67,1.098,-0.001,0.176
510,85.355,1.624,0,0.177
511,86.009,2.331,0,0.177
512,86.639,3.223,0,0.179
513,87.232,4.327,0,0.177
514,87.827,5.619,0,0.176
515,88.324,7.067,0,0.175
516,88.753,8.618,0,0.177
517,89.072,10.284,0,0.178
518,89.373,12.114,0,0.179
519,89.666,14.106,0,0.178
520,89.873,16.267,0,0.179
521,90.018,18.549,0,0.179
522,90.073,20.878,0,0.178
523,90.123,23.128,0,0.177
524,90.089,25.12,0,0.178
525,89.999,26.794,0,0.18
526,89.872,28.142,0,0.181
527,89.678,29.299,0,0.18
528,89.41,30.358,0,0.178
529,89.064,31.555,0,0.177
530,88.706,33.012,0,0.178
531,88.307,34.911,0,0.179
532,87.9,37.142,0,0.181
533,87.362,39.706,0,0.182
534,86.892,42.323,-0.001,0.182
535,86.412,44.782,-0.001,0.181
536,86.011,46.721,0,0.179
537,85.473,48.017,0,0.181
538,84.9,48.555,0,0.181
539,84.304,48.471,0,0.182
540,83.751,47.974,0,0.181
541,83.188,47.331,0,0.18
542,82.624,46.804,0,0.181
543,82.082,46.58,0,0.181
544,81.557,46.831,0,0.182
545,81.114,47.713,0,0.181
546,80.657,49.183,0,0.181
547,80.215,51.239,-0.001,0.18
548,79.749,53.726,-0.001,0.182
549,79.311,56.503,-0.001,0.183
550,78.873,59.202,-0.001,0.183
551,78.513,61.593,-0.001,0.182
552,78.12,63.322,0,0.182
553,77.835,64.326,0,0.183
554,77.523,64.44,0,0.183
555,77.311,63.813,-0.001,0.183
556,77.088,62.558,-0.001,0.183
557,76.888,60.92,-0.001,0.184
558,76.693,59.154,-0.001,0.184
559,76.547,57.553,-0.001,0.185
560,76.401,56.306,-0.001,0.184
561,76.349,55.575,-0.001,0.184
562,76.286,55.402,-0.001,0.185
563,76.257,55.822,0,0.186
564,76.229,56.91,0,0.186
565,76.207,58.588,-0.001,0.185
566,76.249,60.822,-0.001,0.184
567,76.294,63.367,-0.001,0.183
568,76.444,66.147,0,0.183
569,76.592,68.887,-0.001,0.183
570,76.786,71.385,-0.001,0.184
571,76.942,73.34,-0.001,0.184
572,77.094,74.597,-0.001,0.186
573,77.287,75.113,0,0.186
574,77.557,74.801,-0.001,0.186
575,77.835,73.697,-0.001,0.185
576,78.109,71.975,0,0.185
577,78.328,69.869,0,0.186
578,78.629,67.669,0,0.185
579,78.964,65.494,0,0.185
580,79.344,63.605,0,0.185
581,79.735,62.108,0,0.185
582,80.154,61.065,0,0.186
583,80.553,60.494,-0.001,0.185
584,80.938,60.454,-0.001,0.186
585,81.302,60.937,-0.001,0.185
586,81.707,61.95,-0.001,0.186
587,82.097,63.422,-0.001,0.186
588,82.502,65.374,0,0.185
589,82.952,67.691,-0.001,0.185
590,83.436,70.2,-0.001,0.184
591,83.885,72.77,-0.001,0.184
592,84.302,75.288,-0.001,0.184
593,84.711,77.63,0,0.184
594,85.15,79.546,0,0.185
595,85.56,80.882,0,0.185
596,85.974,81.533,0,0.185
597,86.361,81.517,-0.001,0.186
598,86.762,80.79,-0.001,0.186
599,87.121,79.428,-0.001,0.188
600,87.5,77.623,-0.001,0.188
