Wavelength (nm),Transmittance ITO (%),Transmittance CdS (%),Transmittance Si (%),Transmittance GaAs (%)
1075,85.766,75.434,25.263,17.652
1076,85.703,76.119,25.527,17.664
1077,85.636,76.721,25.768,17.672
1078,85.551,77.339,25.987,17.627
1079,85.456,77.962,26.196,17.639
1080,85.341,78.659,26.425,17.634
1081,85.212,79.301,26.636,17.637
1082,85.188,80.069,26.833,17.632
1083,85.083,80.723,27.03,17.61
1084,85,81.418,27.264,17.627
1085,84.858,82.014,27.502,17.591
1086,84.772,82.756,27.703,17.591
1087,84.665,83.406,27.897,17.584
1088,84.579,84.097,28.083,17.592
1089,84.447,84.659,28.313,17.579
1090,84.373,85.299,28.499,17.563
1091,84.241,85.857,28.697,17.556
1092,84.178,86.498,28.864,17.562
1093,84.057,87.049,29.078,17.535
1094,83.933,87.614,29.264,17.537
1095,83.815,88.109,29.432,17.538
1096,83.685,88.55,29.565,17.547
1097,83.582,88.94,29.718,17.547
1098,83.49,89.385,29.885,17.55
1099,83.384,89.8,30.114,17.524
1100,83.271,90.261,30.293,17.498
1101,83.127,90.51,30.454,17.463
1102,82.977,90.797,30.58,17.468
1103,82.848,90.994,30.756,17.466
1104,82.715,91.252,30.904,17.462
1105,82.582,91.439,31.052,17.469
1106,82.41,91.519,31.212,17.438
1107,82.294,91.601,31.373,17.411
1108,82.192,91.65,31.529,17.406
1109,82.107,91.647,31.633,17.411
1110,81.99,91.575,31.809,17.432
1111,81.896,91.49,31.96,17.38
1112,81.808,91.412,32.12,17.382
1113,81.663,91.226,32.242,17.354
1114,81.546,90.972,32.36,17.385
1115,81.456,90.693,32.469,17.366
1116,81.447,90.482,32.582,17.393
1117,81.351,90.157,32.714,17.362
1118,81.271,89.818,32.856,17.382
1119,81.155,89.391,32.991,17.358
1120,81.114,89.045,33.141,17.369
1121,81.057,88.669,33.299,17.344
1122,81.02,88.203,33.419,17.325
1123,80.94,87.687,33.502,17.315
1124,80.891,87.136,33.59,17.278
1125,80.795,86.605,33.688,17.273
1126,80.777,86.067,33.814,17.257
1127,80.741,85.539,33.914,17.269
1128,80.709,85.042,34.021,17.26
1129,80.652,84.502,34.132,17.248
1130,80.565,83.949,34.237,17.265
1131,80.496,83.374,34.36,17.272
1132,80.442,82.824,34.481,17.289
1133,80.39,82.243,34.625,17.29
1134,80.347,81.686,34.755,17.293
1135,80.29,81.125,34.85,17.272
1136,80.207,80.571,34.936,17.238
1137,80.168,80.016,34.999,17.236
1138,80.111,79.45,35.115,17.252
1139,80.055,78.875,35.212,17.29
1140,79.99,78.331,35.32,17.275
1141,79.874,77.759,35.376,17.279
1142,79.786,77.226,35.475,17.264
1143,79.672,76.649,35.567,17.27
1144,79.599,76.101,35.703,17.271
1145,79.524,75.604,35.825,17.269
1146,79.472,75.087,35.96,17.255
1147,79.423,74.617,36.042,17.271
1148,79.366,74.076,36.119,17.234
1149,79.272,73.616,36.186,17.23
1150,79.149,73.127,36.27,17.21
1151,79.032,72.669,36.336,17.246
1152,78.982,72.264,36.475,17.243
1153,78.915,71.874,36.563,17.249
1154,78.933,71.531,36.68,17.237
1155,78.817,71.143,36.683,17.224
1156,78.719,70.762,36.76,17.193
1157,78.603,70.437,36.829,17.192
1158,78.53,70.12,36.907,17.213
1159,78.499,69.882,37.023,17.214
1160,78.377,69.547,37.096,17.199
1161,78.384,69.34,37.201,17.186
1162,78.324,69.106,37.251,17.185
1163,78.341,68.991,37.359,17.175
1164,78.26,68.805,37.445,17.148
1165,78.235,68.716,37.515,17.116
1166,78.242,68.65,37.591,17.122
1167,78.282,68.61,37.65,17.148
1168,78.251,68.527,37.73,17.142
1169,78.211,68.479,37.796,17.146
1170,78.192,68.497,37.94,17.113
1171,78.213,68.565,38.03,17.131
1172,78.229,68.614,38.113,17.107
1173,78.21,68.712,38.193,17.141
1174,78.22,68.774,38.294,17.131
1175,78.193,68.886,38.406,17.122
1176,78.186,68.991,38.493,17.094
1177,78.158,69.157,38.595,17.044
1178,78.168,69.315,38.65,17.031
1179,78.168,69.446,38.737,17.009
1180,78.158,69.606,38.782,17.027
1181,78.152,69.82,38.805,17.011
1182,78.171,70.116,38.811,17.02
1183,78.223,70.361,38.838,17.005
1184,78.262,70.616,38.865,17.007
1185,78.237,70.839,38.897,16.956
1186,78.264,71.159,38.893,16.99
1187,78.217,71.421,38.924,16.967
1188,78.216,71.7,38.902,16.975
1189,78.136,71.971,38.926,16.934
1190,78.151,72.32,38.984,16.935
1191,78.116,72.651,39.007,16.925
1192,78.113,73.017,39.017,16.884
1193,78.063,73.371,38.993,16.888
1194,78.02,73.714,38.981,16.871
1195,78.014,74.069,39.024,16.878
1196,77.975,74.437,39.024,16.88
1197,77.986,74.831,39.088,16.883
1198,77.914,75.191,39.052,16.863
1199,77.879,75.546,39.032,16.826
1200,77.857,75.969,38.971,16.852
1201,77.873,76.398,38.974,16.843
1202,77.82,76.854,38.995,16.804
1203,77.741,77.266,38.976,16.734
1204,77.692,77.778,38.978,16.742
1205,77.705,78.253,38.996,16.787
1206,77.728,78.76,39.036,16.815
1207,77.716,79.199,39.053,16.814
1208,77.744,79.705,39.075,16.772
1209,77.733,80.228,39.094,16.768
1210,77.733,80.742,39.113,16.764
1211,77.742,81.257,39.089,16.75
1212,77.806,81.752,39.114,16.753
1213,77.873,82.249,39.104,16.74
1214,77.841,82.786,39.101,16.738
1215,77.845,83.277,39.114,16.689
1216,77.815,83.874,39.13,16.687
1217,77.856,84.414,39.15,16.691
1218,77.896,85.062,39.15,16.705
1219,77.883,85.502,39.153,16.689
1220,77.859,85.971,39.117,16.643
1221,77.834,86.359,39.086,16.621
1222,77.937,86.913,39.088,16.633
1223,78.01,87.419,39.122,16.675
1224,78.118,87.961,39.13,16.685
1225,78.161,88.36,39.096,16.656
1226,78.31,88.82,39.093,16.653
1227,78.33,89.148,39.082,16.627
1228,78.42,89.552,39.07,16.64
1229,78.406,89.835,39.074,16.631
1230,78.418,90.199,39.077,16.653
1231,78.4,90.511,39.096,16.637
1232,78.431,90.762,39.087,16.604
1233,78.429,91.006,39.073,16.581
1234,78.45,91.217,39.087,16.56
1235,78.469,91.517,39.048,16.606
1236,78.6,91.689,39.064,16.614
1237,78.716,91.866,39.109,16.651
1238,78.804,91.894,39.142,16.642
1239,78.831,91.973,39.157,16.66
1240,78.808,91.984,39.075,16.637
1241,78.86,92.05,39.066,16.575
1242,78.9,92.06,39.069,16.543
1243,78.955,92.039,39.068,16.528
1244,78.931,91.971,39.049,16.567
1245,78.97,91.919,39.018,16.572
1246,79.03,91.826,39.027,16.594
1247,79.129,91.676,39.071,16.571
1248,79.159,91.501,39.074,16.578
1249,79.203,91.372,39.132,16.527
1250,79.181,91.218,39.139,16.561
1251,79.259,90.983,39.146,16.546
1252,79.208,90.707,39.095,16.584
1253,79.273,90.48,39.074,16.532
1254,79.257,90.195,39.067,16.513
1255,79.399,89.902,39.051,16.483
1256,79.436,89.548,39.009,16.488
1257,79.48,89.245,39.008,16.499
1258,79.501,88.861,39.034,16.507
1259,79.547,88.466,39.079,16.519
1260,79.577,88.02,39.075,16.515
1261,79.532,87.562,39.05,16.495
1262,79.569,87.085,38.986,16.475
1263,79.668,86.678,38.986,16.429
1264,79.789,86.274,38.974,16.431
1265,79.812,85.852,38.986,16.417
1266,79.806,85.351,38.952,16.437
1267,79.793,84.828,38.96,16.399
1268,79.803,84.348,38.985,16.395
1269,79.847,83.895,38.997,16.373
1270,79.909,83.412,38.988,16.368
1271,79.988,82.878,38.99,16.379
1272,80.035,82.436,39.036,16.385
1273,80.038,81.982,39.07,16.386
1274,80.088,81.585,38.999,16.406
1275,80.122,81.076,38.991,16.391
1276,80.226,80.666,38.976,16.377
1277,80.283,80.172,39.073,16.334
1278,80.404,79.701,39.065,16.323
1279,80.493,79.242,39.089,16.348
1280,80.577,78.829,39.101,16.307
1281,80.556,78.366,39.091,16.323
1282,80.583,77.893,39.063,16.349
1283,80.685,77.442,39.051,16.409
1284,80.821,77.056,39.025,16.368
1285,80.854,76.622,39.035,16.328
1286,80.858,76.223,39.013,16.265
1287,80.862,75.829,39.014,16.302
1288,81.004,75.488,38.992,16.272
1289,81.099,75.158,39.032,16.297
1290,81.204,74.786,39.05,16.303
1291,81.259,74.452,39.102,16.342
1292,81.336,74.103,39.115,16.338
1293,81.451,73.793,39.145,16.291
1294,81.523,73.441,39.125,16.277
1295,81.64,73.108,39.071,16.304
1296,81.643,72.753,39.084,16.308
1297,81.664,72.526,39.054,16.273
1298,81.71,72.273,39.097,16.189
1299,81.759,72.045,39.088,16.173
1300,81.903,71.772,39.073,16.165
1301,81.93,71.487,39.055,16.203
1302,82.088,71.316,39.076,16.227
1303,82.082,71.048,39.102,16.222
1304,82.231,70.865,39.132,16.241
1305,82.266,70.633,39.118,16.212
1306,82.432,70.488,39.17,16.191
1307,82.411,70.286,39.14,16.121
1308,82.49,70.07,39.09,16.148
1309,82.566,69.878,39.06,16.13
1310,82.71,69.749,39.129,16.159
1311,82.831,69.662,39.191,16.128
1312,82.877,69.579,39.233,16.148
1313,82.915,69.463,39.168,16.167
1314,82.949,69.338,39.151,16.216
1315,83.021,69.232,39.173,16.249
1316,83.084,69.194,39.217,16.228
1317,83.107,69.128,39.232,16.167
1318,83.194,69.055,39.196,16.179
1319,83.235,68.997,39.191,16.186
1320,83.399,69.061,39.201,16.226
1321,83.438,69.092,39.21,16.195
1322,83.57,69.014,39.209,16.148
1323,83.616,68.928,39.221,16.163
1324,83.709,68.969,39.26,16.175
1325,83.753,69.027,39.29,16.17
1326,83.775,69.081,39.283,16.161
1327,83.841,69.089,39.258,16.092
1328,83.869,69.109,39.227,16.083
1329,83.889,69.106,39.275,16.004
1330,83.845,69.163,39.281,16.08
1331,83.936,69.359,39.296,16.098
1332,83.988,69.474,39.287,16.136
1333,84.086,69.58,39.31,16.136
1334,84.055,69.675,39.305,16.109
1335,84.166,69.836,39.319,16.096
1336,84.233,70.018,39.361,16.055
1337,84.348,70.097,39.336,16.074
1338,84.41,70.292,39.291,16.132
1339,84.432,70.476,39.231,16.127
1340,84.384,70.644,39.234,16.167
1341,84.309,70.82,39.194,16.148
1342,84.307,70.983,39.228,16.161
1343,84.406,71.279,39.297,16.131
1344,84.484,71.531,39.353,16.089
1345,84.59,71.888,39.402,16.072
1346,84.649,72.144,39.397,16.075
1347,84.744,72.349,39.438,16.12
1348,84.841,72.591,39.433,16.17
1349,84.968,72.916,39.463,16.181
1350,84.991,73.162,39.439,16.131
1351,85.032,73.375,39.432,16.087
1352,85.011,73.62,39.396,16.065
1353,85.137,74.057,39.434,16.057
1354,85.117,74.38,39.409,16.066
1355,85.242,74.659,39.413,16.099
1356,85.329,74.968,39.411,16.116
1357,85.446,75.27,39.424,16.095
1358,85.482,75.549,39.442,16.089
1359,85.514,75.882,39.36,16.058
1360,85.664,76.33,39.376,16.038
1361,85.763,76.845,39.355,16.104
1362,85.776,77.165,39.436,16.113
1363,85.808,77.597,39.428,16.143
1364,85.939,77.94,39.422,16.029
1365,86.061,78.416,39.46,16.004
1366,86.141,78.722,39.482,15.989
1367,86.142,79.173,39.528,16.065
1368,86.264,79.568,39.49,16.11
1369,86.33,79.919,39.449,16.061
1370,86.447,80.335,39.524,16.007
1371,86.493,80.763,39.556,16.042
1372,86.575,81.244,39.637,16.098
1373,86.584,81.571,39.537,16.079
1374,86.65,81.952,39.559,15.976
1375,86.661,82.33,39.548,15.946
1376,86.755,82.668,39.551,15.971
1377,86.853,82.998,39.527,16.014
1378,86.965,83.357,39.546,16.025
1379,87.096,83.932,39.658,15.973
1380,87.167,84.346,39.654,15.972
1381,87.238,84.747,39.666,15.95
1382,87.187,84.944,39.581,16.034
1383,87.155,85.223,39.647,16.035
1384,87.153,85.512,39.656,16.041
1385,87.234,85.902,39.724,15.952
1386,87.319,86.43,39.727,15.898
1387,87.429,86.802,39.665,15.935
1388,87.365,87.254,39.557,15.966
1389,87.302,87.547,39.525,16.047
1390,87.284,88.003,39.625,15.976
1391,87.418,88.176,39.748,15.969
1392,87.58,88.505,39.794,15.904
1393,87.676,88.848,39.77,15.986
1394,87.644,89.259,39.816,15.994
1395,87.586,89.615,39.834,16.039
1396,87.495,89.758,39.811,16.051
1397,87.616,89.963,39.775,16.018
1398,87.639,90.075,39.852,16.04
1399,87.73,90.43,39.993,15.968
1400,87.704,90.71,40.113,15.97
